artist,tags
Duman,"turkish rock, rock, turkish, alternative rock, alternative"
Lifehouse,"rock, alternative rock, alternative, indie, pop"
Rachael Yamagata,"female vocalists, singer-songwriter, indie, piano, alternative"
Sophie Hunger,"singer-songwriter, folk, female vocalists, swiss, seen live"
Molly Nilsson,"synthpop, seen live, minimal synth, female vocalists, Avant-Garde"
Alexander Kowalski,"techno, electronic, minimal, House, electro"
Hum,"space rock, alternative rock, alternative, shoegaze, rock"
岡田有希子,"japanese, j-pop, IDOL POPS, 80s, female vocalists"
311,"alternative, rock, alternative rock, reggae, ska"
Superchunk,"indie rock, indie, seen live, alternative, post-punk"
Cloudkicker,"Progressive metal, math metal, instrumental, Post-Metal, experimental"
Blackbird Blackbird,"chillwave, electronic, glo-fi, noise-gaze, dream pop"
Graham Coxon,"britpop, indie, british, indie rock, seen live"
Fugees,"Hip-Hop, rap, soul, hip hop, rnb"
Annie Lennox,"female vocalists, pop, 80s, singer-songwriter, rock"
소녀시대,"k-pop, Korean, pop, Kpop, girlband"
Cœur de Pirate,"french, indie, female vocalists, Canadian, pop"
Anderson .Paak,"soul, seen live, Hip-Hop, rnb, Neo-Soul"
Eskmo,"dubstep, glitch, electronic, breakbeat, breaks"
SHINee,"k-pop, Korean, shinee, Kpop, pop"
Pinch,"dubstep, electronic, experimental, dub, planet mu"
David Thomas Broughton,"folk, singer-songwriter, freak folk, experimental, seen live"
Sylvan Esso,"electronic, seen live, electropop, pop, female vocalists"
Don Cherry,"jazz, free jazz, Avant-Garde, trumpet, Fusion"
Raime,"ambient, dark ambient, electronic, experimental, dubstep"
John Lee Hooker,"blues, delta blues, Classic Blues, guitar, jazz"
HOMESHAKE,"Lo-Fi, psychedelic, indie, chillwave, Canadian"
The Hidden Cameras,"seen live, indie, Canadian, indie pop, alternative"
Blu,"Hip-Hop, rap, hip hop, chillout, underground hip-hop"
Boredoms,"experimental, noise, noise rock, japanese, Avant-Garde"
Woody Guthrie,"folk, singer-songwriter, country, americana, political"
Oingo Boingo,"new wave, 80s, rock, alternative, pop"
Dargaard,"darkwave, dark ambient, neoclassical, ethereal, ambient"
Cell,"ambient, psychill, chillout, downtempo, electronic"
Blitzen Trapper,"seen live, indie, Alt-country, folk rock, indie rock"
Fang Island,"everyone high-fiving everyone, math rock, post-rock, indie rock, instrumental"
cLOUDDEAD,"Hip-Hop, experimental, anticon, electronic, hip hop"
Deltron 3030,"Hip-Hop, underground hip-hop, rap, hip hop, electronic"
Mariee Sioux,"folk, singer-songwriter, female vocalists, indie folk, New Weird America"
US5,"pop, boybands, dance, rnb, 00s"
Dusty Kid,"minimal, techno, electronic, minimal techno, electro house"
Cranes,"shoegaze, dream pop, ethereal, female vocalists, indie"
Emeli Sandé,"soul, british, female vocalists, r'n'b, female vocalist"
Dead Man's Bones,"folk, indie, alternative, gospel, rock"
Cher,"pop, female vocalists, 80s, dance, rock"
Blue Hawaii,"dream pop, chillwave, Lo-Fi, ambient, experimental"
Bruno Nicolai,"Soundtrack, italian, composer, lounge, spaghetti western"
Babasónicos,"Rock Argentino, rock, argentina, Rock en Espanol, alternative"
Josephine Foster,"folk, freak folk, New Weird America, singer-songwriter, female vocalists"
Client,"electronic, Electroclash, synthpop, female vocalists, electronica"
Eleven Tigers,"dubstep, ambient, electronic, experimental, dub"
Adriana Calcanhoto,"mpb, female vocalists, brazilian, brasil, brazil"
EMA,"experimental, indie, electronic, seen live, folk"
Add N To (X),"electronic, experimental, Electroclash, electronica, electro"
Cornelius,"electronic, japanese, shibuya-kei, electronica, alternative"
Therapy?,"seen live, alternative rock, rock, alternative, metal"
Bugge Wesseltoft,"jazz, nu jazz, electronic, norwegian, nu-jazz"
Animal Джаz,"alternative, alternative rock, russian, russian alternative, rock"
Tzolk'in,"dark ambient, tribal, industrial, ambient, electronic"
John Tejada,"minimal, techno, electronic, minimal techno, House"
Pyotr Ilyich Tchaikovsky,"Classical, romantic, russian, composers, instrumental"
Blind Melon,"Grunge, rock, alternative rock, alternative, 90s"
LTJ Bukem,"Drum and bass, electronic, chillout, Drum n Bass, dnb"
Angra,"Power metal, Progressive metal, metal, melodic metal, heavy metal"
Buddy Holly,"rockabilly, Rock and Roll, 50s, oldies, rock"
Kula Shaker,"britpop, Psychedelic Rock, rock, indie, alternative"
Ida,"slowcore, indie, indie rock, folk, indie pop"
Cradle of Filth,"black metal, Symphonic Black Metal, Gothic Metal, metal, death metal"
CFCF,"electronic, Electroclash, Canadian, new rave, chillwave"
Relient K,"rock, pop punk, christian rock, christian, punk"
The Allman Brothers Band,"Southern Rock, classic rock, blues rock, rock, blues"
Spinvis,"seen live, dutch, singer-songwriter, Nederlandstalig, alternative"
The Charlatans,"britpop, indie, madchester, british, rock"
Bluetech,"ambient, psychill, downtempo, chillout, electronic"
Marduk,"black metal, metal, swedish, swedish black metal, seen live"
To Rococo Rot,"electronic, idm, post-rock, electronica, german"
Infinite Body,"ambient, drone, experimental, psychedelic, noise"
Tiny Vipers,"folk, singer-songwriter, indie, female vocalists, indie folk"
The Veronicas,"pop rock, pop, female vocalists, australian, rock"
Anti-Flag,"punk, punk rock, seen live, political, political punk"
Colbie Caillat,"female vocalists, pop, acoustic, singer-songwriter, indie"
J.J. Cale,"blues, blues rock, singer-songwriter, rock, classic rock"
Horace Andy,"reggae, dub, roots reggae, roots, jamaican"
Simply Red,"pop, 80s, soul, british, rock"
The Wave Pictures,"seen live, indie, british, indie pop, rock"
Brendan Perry,"ethereal, ambient, singer-songwriter, new age, Gothic"
東京事変,"japanese, J-rock, rock, j-pop, female vocalists"
B. Fleischmann,"electronic, idm, ambient, electronica, experimental"
Male Bonding,"Lo-Fi, seen live, noise rock, punk, indie"
Claro Intelecto,"minimal, techno, electronic, idm, electronica"
Al Di Meola,"jazz, Fusion, guitar, jazz fusion, instrumental"
The Real Tuesday Weld,"indie, cabaret, british, Avant-Garde, alternative"
Skee Mask,"techno, breakbeat, idm, Ambient Techno, electronic"
Kashmir,"seen live, danish, rock, indie rock, alternative"
Screamin' Jay Hawkins,"blues, rhythm and blues, jazz, Rock and Roll, weird"
Beyonce,"rnb, pop, female vocalists, soul, Hip-Hop"
Sonne Hagal,"neofolk, dark folk, apocalyptic folk, german, folk"
Propagandhi,"punk, punk rock, hardcore punk, political, hardcore"
As Blood Runs Black,"deathcore, metalcore, death metal, Melodic Death Metal, hardcore"
Pissed Jeans,"noise rock, punk, post-hardcore, hardcore, seen live"
DJ Cam,"trip-hop, downtempo, electronic, chillout, Hip-Hop"
Clutch,"Stoner Rock, hard rock, rock, stoner, seen live"
Lusine ICL,"idm, ambient, electronic, glitch, minimal"
30Y,"hungarian, alternative, seen live, indie, alternative rock"
Kap Bambino,"electro punk, electronic, Electroclash, female vocalists, electro"
Caravan,"Progressive rock, Canterbury Scene, Canterbury, rock, Progressive"
Klaus Schulze,"electronic, ambient, krautrock, experimental, electronica"
Clock DVA,"industrial, post-punk, electronic, experimental, ebm"
The Wrens,"indie, indie rock, seen live, rock, alternative"
Marnie Stern,"math rock, experimental, noise rock, indie rock, seen live"
Raised By Swans,"post-rock, indie rock, dream pop, indie, Canadian"
Moon Duo,"Psychedelic Rock, psychedelic, space rock, seen live, ambient"
PARTYNEXTDOOR,"rnb, r&b, Hip-Hop, soul, canada"
Motorpsycho,"seen live, rock, norwegian, psychedelic, alternative"
Dave Brubeck,"jazz, piano, jazz piano, cool jazz, instrumental"
The Black Dahlia Murder,"Melodic Death Metal, death metal, deathcore, metalcore, seen live"
The Red Krayola,"psychedelic, experimental, Psychedelic Rock, Avant-Garde, Experimental Rock"
SUPER JUNIOR,"k-pop, Korean, Super junior, Kpop, sm town"
Antipop Consortium,"Hip-Hop, underground hip-hop, hip hop, electronic, rap"
Honey For Petzi,"post-rock, math rock, swiss, seen live, switzerland"
Widespread Panic,"jam band, Southern Rock, Jam, rock, seen live"
Brigitte Fontaine,"french, Avant-Garde, chanson francaise, experimental, female vocalists"
Immolation,"death metal, Brutal Death Metal, Technical Death Metal, seen live, metal"
Jega,"idm, electronic, electronica, ambient, Drum and bass"
Temple of the Dog,"Grunge, rock, alternative rock, alternative, seattle"
ASC,"Drum and bass, atmospheric, drumfunk, ambient, atmospheric drum and bass"
FIDLAR,"Garage Rock, Lo-Fi, punk, seen live, skate punk"
Skip James,"blues, delta blues, Classic Blues, folk, guitar"
Psapp,"electronic, indie, experimental, female vocalists, electronica"
Gallows,"hardcore, hardcore punk, seen live, punk, post-hardcore"
The Angels of Light,"folk, singer-songwriter, freak folk, indie, folk noir"
DeathBoy,"industrial, industrial rock, electronic rock, goth, seen live"
Sarah McLachlan,"female vocalists, singer-songwriter, pop, Canadian, alternative"
Club 8,"swedish, indie pop, indie, female vocalists, twee"
Danger,"electro, electronic, french, House, dance"
LMFAO,"electronic, Hip-Hop, electro, Crunk, hip hop"
King Geedorah,"Hip-Hop, underground hip-hop, mf doom, hip hop, rap"
Sean Lennon,"singer-songwriter, indie, rock, pop, alternative"
Live,"rock, alternative rock, alternative, seen live, 90s"
Bassnectar,"dubstep, electronic, breakbeat, glitch, breaks"
Elvis Costello & The Attractions,"new wave, rock, singer-songwriter, british, alternative"
Protomartyr,"post-punk, seen live, Garage Rock, Crank wave, punk"
Minitel Rose,"electronic, french, electro, new rave, VALERIE"
Annihilator,"thrash metal, speed metal, heavy metal, metal, thrash"
Cobra Starship,"pop punk, alternative, rock, seen live, indie rock"
Ceephax Acid Crew,"Acid, electronic, idm, breakcore, acid house"
Sambassadeur,"swedish, indie pop, indie, twee, female vocalists"
A Certain Ratio,"post-punk, new wave, Manchester, 80s, Post punk"
Citizen,"pop punk, emo, melodic hardcore, punk, post-hardcore"
Yellowcard,"punk rock, rock, pop punk, punk, emo"
Susanne Sundfør,"norwegian, singer-songwriter, seen live, female vocalists, experimental"
Glasvegas,"seen live, indie, Scottish, shoegaze, rock"
Isaiah Rashad,"Hip-Hop, rap, hip hop, underground hip-hop, seen live"
Papa Roach,"rock, Nu Metal, alternative rock, alternative, metal"
Cynic,"Progressive metal, Technical Death Metal, progressive death metal, death metal, jazz metal"
Anamanaguchi,"chiptune, 8-bit, electronic, 8bit, 8bitpeoples"
Jessie J,"pop, british, female vocalists, rnb, singer-songwriter"
Years & Years,"electronic, seen live, indie, british, electropop"
1991,"ambient, electronic, experimental, drone, idm"
Roxette,"pop, 80s, rock, swedish, female vocalists"
Lady Sovereign,"Grime, Hip-Hop, british, rap, female vocalists"
The Monochrome Set,"post-punk, new wave, 80s, indie, british"
Komet,"minimal, electronic, experimental, ambient, raster-noton"
Celldweller,"industrial, electronic, industrial rock, industrial metal, rock"
Theatres Des Vampires,"Gothic Metal, Vampiric Metal, black metal, Gothic, metal"
Bear vs. Shark,"post-hardcore, indie, indie rock, rock, emo"
The Go Find,"indietronica, indie, electronic, morr music, electronica"
Gregory Isaacs,"reggae, roots reggae, dub, jamaica, roots"
The Used,"emo, screamo, rock, alternative, seen live"
Pusha T,"Hip-Hop, rap, hip hop, seen live, East Coast"
Jet,"rock, alternative, alternative rock, indie, indie rock"
Avi Buffalo,"indie, indie pop, seen live, indie rock, Lo-Fi"
Danger Mouse & Daniele Luppi,"indie, alternative, rock, western, Psychedelic Rock"
Asking Alexandria,"post-hardcore, metalcore, screamo, electronic, hardcore"
Alice Russell,"soul, female vocalists, jazz, funk, nu jazz"
SOHN,"electronic, seen live, ambient, electropop, indie"
Wiley,"Grime, Hip-Hop, rap, eski, UK"
Library Tapes,"ambient, piano, experimental, post-rock, electronic"
MARNERO,"post-hardcore, italian, seen live, experimental, noise"
Donald Fagen,"jazz-rock, jazz, rock, singer-songwriter, classic rock"
Cocoon,"folk, indie, french, acoustic, indie folk"
Das Racist,"Hip-Hop, rap, art rap, seen live, new york"
Петля Пристрастия,"post-punk, indie, indie rock, rock, Belarusian"
Bong-Ra,"breakcore, Raggacore, jungle, electronic, idm"
The Shangri-Las,"60s, pop, girl group, female vocalists, Girl Groups"
Lindstrøm,"electronic, space disco, norwegian, seen live, minimal"
The Eighties Matchbox B-Line Disaster,"seen live, psychobilly, rock, Garage Rock, alternative"
Anberlin,"rock, alternative rock, alternative, emo, christian rock"
Nerina Pallot,"female vocalists, singer-songwriter, pop, british, alternative"
Jessica Pratt,"folk, singer-songwriter, female vocalists, acoustic, seen live"
Dominique A,"french, singer-songwriter, chanson francaise, rock, indie"
Nobuo Uematsu,"Soundtrack, video game music, final fantasy, japanese, Game Music"
Maeror Tri,"dark ambient, drone, drone ambient, ambient, industrial"
Mike Slott,"electronic, Hip-Hop, wonky, instrumental, underground hip-hop"
Bliss,"chillout, ambient, downtempo, electronic, lounge"
Era,"new age, ambient, celtic, chillout, ethereal"
Belleruche,"trip-hop, nu jazz, soul, electronic, funk"
Comet Gain,"indie pop, indie, indie rock, seen live, twee"
Maribou State,"ambient, electronic, future garage, dubstep, seen live"
Lift to Experience,"post-rock, space rock, indie, rock, shoegaze"
Pink,"pop, female vocalists, pop rock, rock, punk"
Richard Thompson,"folk, singer-songwriter, folk rock, guitar, seen live"
S. Carey,"folk, singer-songwriter, indie, acoustic, alternative"
Blood Axis,"neofolk, martial industrial, dark ambient, apocalyptic folk, neoclassical"
Manual,"ambient, idm, electronic, electronica, shoegaze"
Para One,"electro, french, electronic, institubes, seen live"
Nothing,"shoegaze, dark ambient, seen live, dream pop, noise"
Giorgio Moroder,"Disco, electronic, synthpop, Soundtrack, 80s"
MillionYoung,"chillwave, electronic, ambient, experimental, chillout"
The Undertones,"punk, punk rock, new wave, irish, rock"
Jessy Lanza,"electronic, synthpop, seen live, art pop, Canadian"
György Ligeti,"contemporary classical, Avant-Garde, Classical, experimental, composers"
Junip,"seen live, indie, folk, swedish, acoustic"
Bishop Allen,"indie, indie pop, seen live, indie rock, folk"
Muddy Waters,"blues, Chicago Blues, Classic Blues, delta blues, guitar"
Absolute Body Control,"ebm, minimal wave, electronic, minimal, Old school EBM"
Wim Mertens,"contemporary classical, minimalism, piano, Classical, instrumental"
Последние Танки В Париже,"punk, post-punk, punk rock, russian, Spagetti-punk"
Machine Head,"thrash metal, metal, groove metal, seen live, heavy metal"
The Moody Blues,"classic rock, Progressive rock, rock, 60s, psychedelic"
DIR EN GREY,"J-rock, visual kei, japanese, metal, jrock"
Pitbull,"Hip-Hop, rap, Reggaeton, hip hop, Crunk"
Magnetic Man,"dubstep, electronic, seen live, dub, bass"
Cymbals Eat Guitars,"indie rock, seen live, shoegaze, indie, noise rock"
Mint Royale,"electronic, dance, big beat, electronica, House"
Delorean,"electronic, indie, seen live, spanish, disco punk"
The Chills,"New Zealand, indie pop, indie, flying nun, Kiwi"
Julian Cope,"post-punk, alternative, psychedelic, rock, indie"
Luc Ferrari,"Avant-Garde, contemporary classical, experimental, musique concrete, electronic"
Martin Denny,"exotica, lounge, easy listening, space age pop, tiki"
The Humble Bee,"ambient, minimal, electronic, Classical, jazz"
The Wonder Years,"pop punk, melodic hardcore, seen live, punk, beardcore"
Craig Armstrong,"Soundtrack, instrumental, ambient, chillout, electronic"
Sonny Rollins,"jazz, saxophone, bebop, Hard Bop, instrumental"
Groundation,"reggae, roots reggae, dub, roots, jazz"
Dean Martin,"jazz, swing, oldies, easy listening, lounge"
Sarah Vaughan,"jazz, female vocalists, jazz vocal, blues, vocal jazz"
Rick Ross,"Hip-Hop, rap, Dirty South, hip hop, southern rap"
Crippled Black Phoenix,"post-rock, experimental, Progressive rock, ambient, instrumental"
Mother Mother,"indie, Canadian, indie pop, experimental, folk"
Macy Gray,"soul, female vocalists, rnb, funk, pop"
Alden Tyrell,"electro, electronic, Disco, Italo Disco, italo"
Sinéad O'Connor,"female vocalists, irish, alternative, singer-songwriter, rock"
Ornette Coleman,"jazz, free jazz, Avant-Garde, saxophone, experimental"
Frivolous,"minimal, minimal house, electronic, House, microhouse"
Vive La Fête,"electronic, Electroclash, synthpop, electro, seen live"
Various Production,"dubstep, electronic, british, electronica, seen live"
Necro Deathmort,"experimental, industrial, noise, dub, Doom"
Pharoahe Monch,"Hip-Hop, rap, hip hop, underground hip-hop, new york"
Saul Williams,"Hip-Hop, spoken word, seen live, poetry, rap"
Gillian Welch,"Alt-country, singer-songwriter, americana, folk, country"
November Növelet,"dark ambient, industrial, noise, minimal, power electronics"
Big Sean,"Hip-Hop, rap, hip hop, good music, big sean"
Porn Sword Tobacco,"ambient, electronic, minimal, experimental, electronica"
Alter Ego,"electro, electronic, techno, minimal, electronica"
Staind,"rock, alternative rock, alternative, hard rock, metal"
Assemblage 23,"ebm, futurepop, industrial, electronic, synthpop"
The Pastels,"indie pop, twee, indie, c86, Scottish"
Lustre,"atmospheric black metal, ambient black metal, black metal, ambient, swedish"
The Innocence Mission,"folk, indie, female vocalists, acoustic, Mellow"
Azam Ali,"world, ethereal, female vocalists, ethnic, new age"
Robots in Disguise,"Electroclash, electronic, female vocalists, electro, electropop"
Digital Mystikz,"dubstep, Grime, electronic, dub, bass"
Zeigeist,"electronic, synthpop, swedish, electropop, electro"
Bjork,"electronic, alternative, experimental, female vocalists, icelandic"
"Loney, dear","seen live, swedish, indie pop, indie, singer-songwriter"
Zoë Keating,"cello, instrumental, ambient, Classical, acoustic"
Kammerflimmer Kollektief,"experimental, jazz, ambient, electronic, post-rock"
Eloy,"Progressive rock, space rock, krautrock, Psychedelic Rock, german"
Frankmusik,"electronic, british, new rave, Electroclash, electronica"
Kronos Quartet,"contemporary classical, Classical, String Quartet, instrumental, Soundtrack"
Pere Ubu,"post-punk, experimental, new wave, Experimental Rock, alternative"
Men at Work,"80s, new wave, rock, australian, pop"
Jónsi & Alex,"ambient, icelandic, post-rock, experimental, instrumental"
Omar A. Rodriguez-Lopez,"experimental, Progressive rock, psychedelic, instrumental, jazz"
Michael Andrews,"Soundtrack, ambient, instrumental, indie, Donnie Darko"
Apollo Brown,"instrumental hip-hop, Hip-Hop, instrumental, funky, hip hop"
Goblin,"Progressive rock, Soundtrack, experimental, italian, electronic"
Rogue Wave,"indie, indie rock, seen live, indie pop, alternative"
Ahmad Jamal,"jazz, piano, jazz piano, Hard Bop, ahmad jamal"
Naked City,"Avant-Garde, jazz, experimental, grindcore, noise"
Devin Townsend,"Progressive metal, Progressive rock, metal, Canadian, Progressive"
Planningtorock,"experimental, electronic, female vocalists, electronica, seen live"
Jay Electronica,"Hip-Hop, underground hip-hop, rap, hip hop, New Orleans"
The Mae Shi,"seen live, noise rock, experimental, indie, indie rock"
Jeniferever,"post-rock, ambient, swedish, indie, seen live"
Roisin Murphy,"electronic, female vocalists, dance, pop, seen live"
Jon Hassell,"ambient, jazz, experimental, electronic, Fourth World"
Snail Mail,"seen live, indie, indie rock, Lo-Fi, indie pop"
Joe Jackson,"new wave, singer-songwriter, pop, 80s, rock"
A.A. Bondy,"folk, singer-songwriter, Alt-country, americana, seen live"
DevilDriver,"metalcore, groove metal, metal, death metal, thrash metal"
Jack Rose,"folk, guitar, instrumental, New Weird America, freak folk"
Edan,"Hip-Hop, underground hip-hop, hip hop, rap, psychedelic"
Oh Wonder,"indie, electronic, seen live, indie pop, chillout"
Subheim,"ambient, idm, downtempo, electronic, melancholic idm"
Chief Keef,"Hip-Hop, rap, drill, trap, hip hop"
Aldous Harding,"folk, seen live, singer-songwriter, New Zealand, female vocalists"
Javiera Mena,"pop, electropop, synthpop, indie, chile"
Coleman Hawkins,"jazz, saxophone, bebop, swing, Tenor Sax"
Jonathan Coulton,"comedy, indie, singer-songwriter, folk, acoustic"
Asian Dub Foundation,"dub, electronic, Hip-Hop, alternative, trip-hop"
Lattice,"ambient, drone, sleep drone, experimental, minimal"
Acid Bath,"Sludge, doom metal, sludge metal, stoner metal, metal"
Freestylers,"breakbeat, electronic, breaks, dance, electronica"
J. Tillman,"folk, singer-songwriter, acoustic, Alt-country, Slow-coustic"
Volbeat,"seen live, heavy metal, metal, rockabilly, elvis metal"
Andreya Triana,"soul, jazz, downtempo, female vocalists, singer-songwriter"
Donald Byrd,"jazz, trumpet, funk, blue note, Blue Note Records"
E-Dubble,"Hip-Hop, rap, e-dubble, underground hip-hop, hip hop is good"
Drive Like Jehu,"post-hardcore, math rock, noise rock, emo, indie"
Nothing But Thieves,"seen live, alternative rock, rock, indie rock, indie"
Machinefabriek,"ambient, experimental, drone, noise, electronic"
Odd Nosdam,"Hip-Hop, anticon, experimental, abstract hip-hop, electronic"
Sol Invictus,"neofolk, apocalyptic folk, dark folk, dark ambient, neo-folk"
Markus Schulz,"trance, progressive trance, vocal trance, electronic, dance"
Mugison,"icelandic, indie, singer-songwriter, seen live, experimental"
Wye Oak,"shoegaze, indie, indie rock, seen live, indie folk"
ODESZA,"chillwave, electronic, ambient, glo-fi, electronica"
Tom Petty,"classic rock, rock, singer-songwriter, 80s, folk"
Édith Piaf,"french, chanson, female vocalists, jazz, chanson francaise"
Audrey,"post-rock, swedish, indie, female vocalists, slowcore"
Dan Le Sac vs Scroobius Pip,"Hip-Hop, seen live, electronic, spoken word, british"
AlunaGeorge,"electronic, trip-hop, seen live, indie, UK Garage"
Hocico,"ebm, industrial, dark electro, electronic, darkwave"
Fritz Kalkbrenner,"minimal, electronic, techno, seen live, german"
Basshunter,"dance, electronic, techno, trance, swedish"
Thee More Shallows,"indie rock, indie, experimental, slowcore, post-rock"
Audio Bullys,"electronic, House, dance, Hip-Hop, electronica"
Michael Kiwanuka,"soul, blues, singer-songwriter, seen live, jazz"
Spinnerette,"female vocalists, punk, alternative rock, punk rock, rock"
Magnolia Electric Co.,"Alt-country, seen live, folk, indie, americana"
Canticuentos,"Colombia, infantil, estimulacion temprana, rondas infantiles"
Suburban Kids with Biblical Names,"swedish, indie pop, indie, seen live, twee"
Universal Indicator,"Acid, idm, electronic, techno, Rephlex"
Thurston Moore,"experimental, noise, seen live, indie, alternative"
Jackson C. Frank,"folk, singer-songwriter, acoustic, 60s, melancholy"
Schiller,"electronic, chillout, ambient, trance, electronica"
Nick Cave,"rock, singer-songwriter, alternative, alternative rock, indie"
K.I.Z.,"rap, seen live, Deutschrap, Hip-Hop, german"
Bill Fay,"folk, singer-songwriter, folk rock, experimental, folk-rock"
port-royal,"post-rock, ambient, electronic, shoegaze, instrumental"
Brandon Flowers,"indie, alternative rock, indie rock, singer-songwriter, rock"
Donny Hathaway,"soul, funk, jazz, 70s, rnb"
clipping.,"Hip-Hop, experimental, noise, experimental hip-hop, rap"
Velvet Cacoon,"black metal, ambient black metal, atmospheric black metal, dark ambient, ambient"
Chris Cornell,"rock, Grunge, alternative rock, singer-songwriter, alternative"
Johannes Brahms,"Classical, romantic, composers, german, instrumental"
Alabama 3,"alternative, blues, country acid house, country, electronica"
Dark Dark Dark,"folk, indie, New Weird America, Indie Gypsy Folk, seen live"
Whirr,"shoegaze, dream pop, ambient, Lo-Fi, electronic"
The Ghost Inside,"metalcore, hardcore, melodic hardcore, seen live, post-hardcore"
Lawrence English,"ambient, drone, experimental, electronic, Avant-Garde"
B.o.B,"Hip-Hop, rap, hip hop, Dirty South, atlanta"
Calle 13,"Reggaeton, latin, hip hop, puerto rico, spanish"
The Asteroids Galaxy Tour,"indie, alternative, female vocalists, pop, seen live"
OOMPH!,"industrial metal, industrial, german, metal, rock"
Buddy Guy,"blues, Chicago Blues, guitar, classic rock, rock"
Peeping Tom,"experimental, mike patton, trip-hop, alternative, electronic"
Lil Peep,"cloud rap, emo rap, Hip-Hop, emo, rap"
Wagon Christ,"electronic, idm, trip-hop, ninja tune, electronica"
Ludacris,"rap, Hip-Hop, Dirty South, hip hop, Ludacris"
Wednesday 13,"horror punk, hard rock, metal, punk, rock"
EF,"post-rock, instrumental, swedish, experimental, seen live"
The Juan Maclean,"electronic, seen live, dance, electro, dfa"
Rod Stewart,"classic rock, rock, 70s, soft rock, pop"
Paul van Dyk,"trance, electronic, dance, progressive trance, techno"
Fontaines D.C.,"post-punk, Crank wave, indie rock, seen live, irish"
Ayo,"soul, female vocalists, blues, folk, singer-songwriter"
Joan Baez,"folk, singer-songwriter, female vocalists, 60s, classic rock"
Soulsavers,"alternative, trip-hop, electronic, indie rock, gospel"
Ace of Base,"pop, dance, 90s, swedish, female vocalists"
Melody's Echo Chamber,"dream pop, psychedelic, Psychedelic Rock, indie, female vocalists"
Play Oliver,"emo, acoustic, seen live, indie"
Penguin Cafe Orchestra,"instrumental, contemporary classical, ambient, new age, Classical"
The Supremes,"soul, motown, 60s, female vocalists, oldies"
Micah P. Hinson,"singer-songwriter, folk, Alt-country, seen live, americana"
Yndi Halda,"post-rock, instrumental, ambient, experimental, post rock"
Lemongrass,"downtempo, chillout, lounge, electronic, ambient"
Gaelle,"chillout, downtempo, soul, female vocalists, deep house"
The 69 Eyes,"Gothic Rock, finnish, Gothic Metal, seen live, Gothic"
Tall Ships,"seen live, math rock, melodic hardcore, indie, hardcore"
Adebisi Shank,"math rock, experimental, instrumental, irish, rock"
Brightblack Morning Light,"psychedelic, folk, indie, seen live, freak folk"
Those Dancing Days,"swedish, indie pop, indie, seen live, female vocalists"
John Adams,"contemporary classical, minimalism, Classical, Avant-Garde, composers"
Aztec Camera,"new wave, 80s, Scottish, pop, post-punk"
Deep Forest,"new age, ambient, electronic, world, chillout"
Handsome Boy Modeling School,"Hip-Hop, hip hop, electronic, trip-hop, rap"
Robag Wruhme,"minimal, minimal techno, techno, electronic, tech-house"
Caroline Polachek,"pop, art pop, electronic, seen live, indie pop"
Kaitlyn Aurelia Smith,"ambient, electronic, experimental, dream pop, seen live"
Sofa Surfers,"downtempo, trip-hop, electronic, chillout, dub"
Chrome Sparks,"chillwave, electronic, synthpop, indie, indie pop"
The Low Anthem,"seen live, folk, indie folk, acoustic, indie"
Andrew W.K.,"rock, hard rock, party, seen live, metal"
Xela,"ambient, idm, electronic, glitch, electronica"
Beatsteaks,"seen live, rock, punk rock, german, alternative"
El Ten Eleven,"post-rock, instrumental, electronic, indie, post rock"
Christina Vantzou,"ambient, electronic, minimalism, cello, drone ambient"
Peggy Lee,"jazz, female vocalists, swing, blues, oldies"
Lisa Hannigan,"folk, female vocalists, singer-songwriter, irish, acoustic"
Set Your Goals,"pop punk, melodic hardcore, hardcore, seen live, punk"
Delia Derbyshire,"experimental, electronic, Avant-Garde, BBC radiophonic workshop, electronica"
Bernard Herrmann,"Soundtrack, instrumental, composer, film music, ost"
The View,"indie, indie rock, seen live, british, Scottish"
Moving Mountains,"post-rock, indie, experimental, alternative rock, post-hardcore"
I Monster,"electronic, trip-hop, chillout, lounge, electronica"
Joseph Arthur,"singer-songwriter, indie, folk, alternative, indie rock"
La Femme,"new wave, french, cold wave, Surf, Lo-Fi"
blessthefall,"post-hardcore, screamo, metalcore, emocore, hardcore"
Saosin,"post-hardcore, emo, screamo, rock, seen live"
Inner Wave,"indie, indie rock, Lo-Fi, psychedelic, jazz"
Emily Jane White,"folk, singer-songwriter, female vocalists, indie folk, acoustic"
Monster Magnet,"Stoner Rock, hard rock, rock, seen live, metal"
Alien Ant Farm,"rock, alternative rock, alternative, punk rock, punk"
Antonín Dvořák,"Classical, romantic, Czech, composers, composer"
Matias Aguayo,"minimal, electronic, techno, Kompakt, minimal techno"
Streetlight Manifesto,"ska, ska punk, seen live, punk, ska-punk"
Nadja,"drone, ambient, drone doom, dark ambient, doom metal"
Yasmin Levy,"ladino, female vocalists, Flamenco, world, spanish"
Chew Lips,"electronic, electropop, indie, female vocalists, Electroclash"
Lauryn Hill,"soul, Hip-Hop, female vocalists, rnb, hip hop"
"Crosby, Stills & Nash","classic rock, folk rock, folk, rock, 60s"
Bedouin Soundclash,"reggae, ska, seen live, Canadian, indie"
Kazuki Tomokawa,"folk, acid folk, japanese, singer-songwriter, Avant-Garde"
Black Star,"Hip-Hop, rap, hip hop, underground hip-hop, alternative rap"
Switchfoot,"rock, alternative, alternative rock, christian rock, christian"
